['1', 'facebook.com/', '9847250', '4048399255', '9.56', '9.37'] 1486278749.1496978
['2', 'twitter.com/', '7227791', '5210140777', '9.45', '9.34'] 1486278755.8414638
['3', 'google.com/', '6774482', '2721829031', '9.39', '9.29'] 1486278761.9524417
['4', 'youtube.com/', '3462124', '1635308834', '9.07', '9.11'] 1486278768.693195
['5', 'wordpress.org/', '2450240', '184595752', '9.07', '8.73'] 1486278811.550438
['6', 'linkedin.com/', '2399211', '826179074', '8.95', '8.90'] 1486278817.7397687
['7', 'instagram.com/', '1868372', '1077181233', '8.86', '8.79'] 1486278824.5682602
['8', 'pinterest.com/', '1460605', '761951368', '8.70', '8.63'] 1486278831.2568233
['9', 'hugedomains.com/', '1332992', '6891088', '8.45', '7.60'] 1486278838.3379743
['10', 'wikipedia.org/', '1228410', '243185510', '8.63', '8.61'] 1486278844.2498615
['11', 'sedo.com/', '1126645', '39819239', '8.74', '8.22'] 1486278851.3110888
['12', 'sedoparking.com/', '1100249', '14057784', '8.73', '8.21'] 1486278856.6821587
['13', 'adobe.com/', '1097403', '147124395', '8.86', '9.08'] 1486278864.4372213
['14', 'blogspot.com/', '1053938', '833085332', '8.43', '8.48'] 1486278871.4235635
['15', 'apple.com/', '972167', '289091090', '8.74', '8.97'] 1486278877.772946
['16', 'wordpress.com/', '943967', '224642874', '8.49', '8.53'] 1486278884.2362134
['17', 'godaddy.com/', '852817', '6607254', '8.57', '7.71'] 1486278891.211424
['18', 'tumblr.com/', '789371', '736595900', '8.41', '8.41'] 1486278900.026209
['19', 'amazon.com/', '699007', '205139906', '8.39', '8.48'] 1486278907.985472
['20', 'vimeo.com/', '661947', '90048663', '8.37', '8.45'] 1486278919.3333406
['21', 'youtu.be/', '632011', '62940717', '8.33', '8.48'] 1486278926.0066667
['22', 'yahoo.com/', '629908', '115530541', '8.39', '8.44'] 1486278965.6940062
['23', 'flickr.com/', '595679', '313418496', '8.30', '8.60'] 1486278972.5323422
['24', 'microsoft.com/', '566593', '125794815', '8.76', '8.73'] 1486278979.6501808
['25', 'goo.gl/', '540149', '98548198', '8.32', '8.35'] 1486278986.1489742
['26', 'qq.com/', '534334', '438902544', '8.80', '7.67'] 1486279029.9530249
['27', 'buydomains.com/', '478332', '662632', '8.70', '7.53'] 1486279035.0106432
['28', 'bit.ly/', '457611', '130258682', '8.22', '8.42'] 1486279040.0373151
['29', 'whoisprivacyprotect.com/', '454372', '5859418', '8.61', '8.05'] 1486279055.9228168
['30', 'reddit.com/', '402863', '93726368', '7.98', '8.20'] 1486279063.6224973
['31', 'w3.org/', '391889', '173267614', '8.33', '8.81'] 1486279070.7064428
['32', 'weebly.com/', '387865', '102633047', '8.27', '8.07'] 1486279079.1943936
['33', 'baidu.com/', '370142', '682983582', '8.94', '7.67'] 1486279107.1319015
['34', 'statcounter.com/', '325900', '87498308', '8.41', '8.11'] 1486279112.1660452
['35', 'networkadvertising.org/', '318875', '5289353', '8.59', '8.16'] 1486279120.117599
['36', 'nytimes.com/', '315325', '45996131', '7.96', '8.84'] 1486279129.4931703
['37', 'vk.com/', '308708', '117279487', '8.05', '7.49'] 1486279136.9008443
['38', 'blogger.com/', '305408', '946486202', '7.94', '7.71'] 1486279143.3348753
['39', 'myspace.com/', '283826', '49925895', '7.75', '7.76'] 1486279152.7725391
['40', 't.co/', '282616', '360145602', '8.00', '8.13'] 1486279158.3295631
['41', 'parallels.com/', '275121', '7424785', '8.57', '8.71'] 1486279165.0898578
['42', 'addthis.com/', '274628', '162508779', '8.19', '8.29'] 1486279171.9012868
['43', 'jimdo.com/', '274074', '8684420', '7.75', '7.39'] 1486279180.3823268
['44', 'bluehost.com/', '273185', '11325878', '7.49', '6.95'] 1486279190.9446957
['45', 'secureserver.net/', '265225', '5363067', '8.04', '7.33'] 1486279197.6815429
['46', 'google.de/', '264591', '16168919', '8.15', '7.53'] 1486279203.6030104
['47', 'bbc.co.uk/', '259882', '38261002', '7.94', '8.81'] 1486279209.6989005
['48', 'wix.com/', '259610', '7803176', '8.12', '7.87'] 1486279216.9827404
['49', 'soundcloud.com/', '254942', '43964888', '7.87', '7.90'] 1486279223.8544035
['50', 'europa.eu/', '253271', '80014965', '8.11', '8.84'] 1486279229.9425478
['51', 'ascii.co.uk/', '253182', '253201', '8.46', '4.98'] 1486279235.2378418
['52', 'feedburner.com/', '235840', '237217954', '7.92', '8.03'] 1486279241.0972164
['53', 'digg.com/', '235761', '71681224', '7.71', '7.75'] 1486279248.446086
['54', 'miibeian.gov.cn/', '233096', '104332132', '8.48', '7.65'] 1486279300.830373
['55', 'mozilla.org/', '231052', '28113568', '8.09', '8.79'] 1486279306.953917
['56', 'github.com/', '230845', '59345392', '8.30', '8.35'] 1486279313.629436
['57', 'ovh.net/', '230409', '1483270', '7.36', '6.67'] 1486279320.0675123
['58', 'gov.uk/', '228147', '41628553', '8.00', '8.85'] 1486279325.7689803
['59', 'stumbleupon.com/', '226665', '72664519', '7.66', '7.71'] 1486279332.3486636
['60', 'cnn.com/', '220721', '21855823', '7.85', '8.79'] 1486279341.0752122
['61', 'yandex.ru/', '212323', '69192091', '7.70', '7.14'] 1486279347.607129
['62', 'miitbeian.gov.cn/', '209489', '125343649', '8.46', '7.30'] 1486279355.0814571
['63', 'paypal.com/', '200639', '22943149', '8.02', '7.96'] 1486279362.660465
['64', '123-reg.co.uk/', '199879', '236742', '7.23', '6.47'] 1486279369.919008
['65', 'creativecommons.org/', '199670', '97581969', '8.03', '8.83'] 1486279376.626485
['66', 'weibo.com/', '199067', '202837892', '8.54', '7.71'] 1486279383.988183
['67', 'huffingtonpost.com/', '199035', '48360420', '7.75', '8.13'] 1486279389.0428486
['68', 'issuu.com/', '197577', '50640320', '7.81', '8.10'] 1486279398.1080294
['69', 'theguardian.com/', '195375', '15871547', '7.64', '8.22'] 1486279406.2972896
['70', 'nih.gov/', '194950', '103473454', '7.82', '8.84'] 1486279414.288168
['71', 'imdb.com/', '194422', '22223430', '7.69', '7.83'] 1486279422.885765
['72', 'wp.com/', '194020', '61592340', '7.82', '7.64'] 1486279429.4694595
['73', 'go.com/', '193242', '23762552', '7.91', '8.79'] 1486279437.2761083
['74', 'google.co.jp/', '188720', '24830463', '8.04', '7.61'] 1486279443.170786
['75', 'wsj.com/', '187883', '26290496', '7.78', '8.10'] 1486279453.218208
['76', 'msn.com/', '182331', '23731794', '7.71', '7.88'] 1486279459.3118453
['77', 'forbes.com/', '176232', '13236134', '7.90', '8.15'] 1486279466.570162
['78', 'slideshare.net/', '174714', '21031524', '7.83', '8.01'] 1486279473.3892734
['79', 'yelp.com/', '174623', '9275561', '7.80', '7.74'] 1486279481.8732667
['80', 'dropbox.com/', '165215', '7159465', '7.74', '7.92'] 1486279491.9269516
['81', 'amazonaws.com/', '162775', '62246485', '7.96', '8.12'] 1486279501.9796615
['82', 'e-recht24.de/', '157792', '533656', '7.80', '6.90'] 1486279509.1079779
['83', 'washingtonpost.com/', '156938', '19343268', '7.60', '8.79'] 1486279517.4020607
['84', 'macromedia.com/', '156435', '8918622', '8.11', '8.12'] 1486279524.8922772
['85', 'ebay.com/', '156237', '81105939', '7.89', '7.67'] 1486279535.0551987
['86', 'addtoany.com/', '155553', '190822895', '7.83', '7.70'] 1486279541.0905411
